NAME OF COMPANY,TOTAL NO. OF ISSUED SHARES A+B+C,TOTAL PROMOTER HOLDING NO. OF SHARES (A),TOTAL PROMOTER HOLDING % A /(A+B+C),TOTAL PUBLIC HOLDING B,PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)],PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP,DISCLOSURE MADE BY PROMOTERS,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES,(%) PLEDGE / DEMAT,Values(Rs. Cr.),BROADCAST DATE
Kovai Medical Center & Hospital Limited,10942262,5472940,50.02,5469322,0,0,0,,10/7/24 11:30,65183,1444240,4.51,,10/7/24 11:30
Krebs Biochemicals and Industries Limited,21560586,15684134,72.74,5876452,0,0,0,,10/7/24 11:30,465355,21106955,2.2,,10/7/24 11:30
Kridhan Infra Limited,94779205,44691160,47.15,50088045,0,0,0,,10/7/24 11:30,1776698,94714180,1.88,,10/7/24 11:30
Krishana Phoschem Limited,61827600,43917740,71.03,17909860,1000,0,0,,10/7/24 11:30,888061,61827600,1.44,,10/7/24 11:30
Krishna Institute of Medical Sciences Limited,80027787,31066304,38.82,48961483,4902438,15.78,6.13,,10/7/24 11:30,5863471,19007900,30.85,,10/7/24 11:30
Ksb Limited,34807844,24294306,69.8,10513538,0,0,0,,10/7/24 11:30,3515977,173005545,2.03,,10/7/24 11:30
Kshitij Polyline Limited,50652330,0,0,50652330,0,,0,,10/7/24 11:30,362460,89000476,0.41,,10/7/24 11:30
Kuantum Papers Limited,87263630,61350690,70.3,25912940,0,0,0,,10/7/24 11:30,2316667,86623320,2.67,,10/7/24 11:30
L&T Finance Limited,2489839366,1652530125,66.37,837309241,0,0,0,,10/7/24 11:30,43674037,2492675622,1.75,,10/7/24 11:30
LCC Infotech Limited,126593350,58033582,45.84,68559768,0,0,0,,10/7/24 11:30,658494,124780494,0.53,,10/7/24 11:30
LEEL Electricals Limited,40332260,16982801,42.11,23349459,84411,0.5,0.21,,10/7/24 11:30,718114,40119190,1.79,,10/7/24 11:30
LG Balakrishnan & Bros Limited,31392416,10597876,33.76,20794540,0,0,0,,10/7/24 11:30,1551494,30934208,5.02,,10/7/24 11:30
LIC Housing Finance Limited,550063000,248842495,45.24,301220505,0,0,0,,10/7/24 11:30,10582044,548144114,1.93,,10/7/24 11:30
LLOYDS ENGINEERING WORKS LIMITED,1144629492,655630895,57.28,488998597,0,0,0,,10/7/24 11:30,51335139,1136922830,4.52,,10/7/24 11:30
LT Foods Limited,347252944,177105802,51,170147142,0,0,0,,10/7/24 11:30,17630774,346498242,5.09,,10/7/24 11:30
La Opala RG Limited,111000000,72865000,65.64,38135000,0,0,0,,10/7/24 11:30,1356372,110775497,1.22,,10/7/24 11:30
Lagnam Spintex Limited,17669000,12103000,68.5,5566000,5829000,48.16,32.99,,10/7/24 11:30,6499663,17669000,36.79,,10/7/24 11:30
Lakshmi Energy and Foods Limited,73630000,39319058,53.4,34310942,,,,,10/7/24 11:30,2226305,68788712,3.24,,10/7/24 11:30
Lakshmi Finance & Industrial Corporation Limited,3000000,1410102,47,1589898,0,0,0,,10/7/24 11:30,25816,2451648,1.05,,10/7/24 11:30
Lakshmi Machine Works Limited,10683000,3325108,31.13,7357892,0,0,0,,10/7/24 11:30,629346,10651613,5.91,,10/7/24 11:30
Lakshmi Precision Screws Limited,10941667,6877078,62.85,4064589,0,0,0,,10/7/24 11:30,87204,10651392,0.82,,10/7/24 11:30
Lambodhara Textiles Limited,10377600,7593283,73.17,2784317,2982506,39.28,28.74,,10/7/24 11:30,3105519,10269200,30.24,,10/7/24 11:30
Landmark Property Development Company Limited,134143160,87007521,64.86,47135639,0,0,0,,10/7/24 11:30,470617,132960904,0.35,,10/7/24 11:30
Larsen & Toubro Limited,1374848104,18695042,1.36,1356153062,0,0,0,,10/7/24 11:30,21659306,1363639956,1.59,,10/7/24 11:30
Lasa Supergenerics Limited,50101239,26879660,53.65,23221579,5553649,20.66,11.08,,10/7/24 11:30,1085069,50097268,2.17,,10/7/24 11:30
Laurus Labs Limited,539159314,146518596,27.18,392640718,0,0,0,,10/7/24 11:30,29583504,539159314,5.49,,10/7/24 11:30
Lemon Tree Hotels Limited,792246464,181045794,22.85,611200670,0,0,0,,10/7/24 11:30,23321505,790399912,2.95,,10/7/24 11:30
Liberty Shoes Limited,17040000,9968346,58.5,7071654,75000,0.75,0.44,,10/7/24 11:30,452402,16900024,2.68,,10/7/24 11:30
Linde India Limited,85284223,63963167,75,21321056,0,0,0,,10/7/24 11:30,2698519,84889751,3.18,,10/7/24 11:30
Lloyds Metals And Energy Limited,505253535,332046256,65.72,173207279,81315727,24.49,16.09,,10/7/24 11:30,149512912,519349600,28.79,,10/7/24 11:30
Lokesh Machines Limited,18496770,9388308,50.76,9108462,708000,7.54,3.83,,10/7/24 11:30,1418286,18496761,7.67,,10/7/24 11:30
Lotus Eye Hospital and Institute Limited,20796330,8368494,40.24,12427836,0,0,0,,10/7/24 11:30,424195,20795530,2.04,,10/7/24 11:30
Lovable Lingerie Limited,14800000,9465209,63.95,5334791,0,0,0,,10/7/24 11:30,342057,14799999,2.31,,10/7/24 11:30
Lumax Auto Technologies Limited,68157705,38154430,55.98,30003275,0,0,0,,10/7/24 11:30,1945583,68157705,2.85,,10/7/24 11:30
Lumax Industries Limited,9347732,7010798,75,2336934,0,0,0,,10/7/24 11:30,340499,9261034,3.68,,10/7/24 11:30
Lupin Limited,455915953,214204990,46.98,241710963,0,0,0,,10/7/24 11:30,4129566,455533921,0.91,,10/7/24 11:30
Lyka Labs Limited,35690000,20737509,58.1,14952491,0,0,0,,10/7/24 11:30,1287067,35477217,3.63,,10/7/24 11:30
Lypsa Gems & Jewellery Limited,29484000,10724500,36.37,18759500,0,0,0,,10/7/24 11:30,456125,26033928,1.75,,10/7/24 11:30
MBL Infrastructure Limited,109754624,75564306,68.85,34190318,1005000,1.33,0.92,,10/7/24 11:30,22917003,109754606,20.88,,10/7/24 11:30
MEP Infrastructure Developers Limited,183446051,56855922,30.99,126590129,48074268,84.55,26.21,,10/7/24 11:30,54563243,183446026,29.74,,10/7/24 11:30
MIRC Electronics Limited,230952619,123242638,53.36,107709981,42525503,34.51,18.41,,10/7/24 11:30,49178457,228353004,21.54,,10/7/24 11:30
MM Forgings Limited,24140800,13599895,56.34,10540905,0,0,0,,10/7/24 11:30,962744,47938231,2.01,,10/7/24 11:30
MMTC Limited,1500000000,1348903143,89.93,151096857,0,0,0,,10/7/24 11:30,19144482,1499997119,1.28,,10/7/24 11:30
MOIL Limited,203485211,131624088,64.68,71861123,0,0,0,,10/7/24 11:30,9847134,203484629,4.84,,10/7/24 11:30
MPS Limited,17105816,11835722,69.19,5270094,0,0,0,,10/7/24 11:30,1264208,17099156,7.39,,10/7/24 11:30
MRF Limited,4241143,1178035,27.78,3063108,0,0,0,,10/7/24 11:30,38982,4207325,0.93,,10/7/24 11:30
MRO-TEK Realty Limited,18684602,10283138,55.04,8401464,0,0,0,,10/7/24 11:30,194586,18649918,1.04,,10/7/24 11:30
MSP Steel & Power Limited,385415000,163189893,42.34,222225107,160405525,98.29,41.62,,10/7/24 11:30,172138129,383653874,44.87,,10/7/24 11:30
MT Educare Limited,72228054,42702513,59.12,29525541,21668416,50.74,30,,10/7/24 11:30,22541039,72202799,31.22,,10/7/24 11:30
MVL Limited,601243200,334210787,55.59,267032413,102348420,30.62,17.02,,10/7/24 11:30,92848073,600399405,15.46,,10/7/24 11:30
Maan Aluminium Limited,54084864,31837568,58.87,22247296,0,0,0,,10/7/24 11:30,1018196,53833646,1.89,,10/7/24 11:30
Macrotech Developers Limited,994944438,717642888,72.13,277301550,0,0,0,,10/7/24 11:30,1255406,995240431,0.13,,10/7/24 11:30
Madhav Marbles and Granites Limited,8947000,3891855,43.5,5055145,0,0,0,,10/7/24 11:30,94934,8773695,1.08,,10/7/24 11:30
Madhucon Projects Limited,73794940,43595278,59.08,30199662,0,0,0,,10/7/24 11:30,496424,73614130,0.67,,10/7/24 11:30
Madhya Bharat Agro Products Limited,87626940,65220067,74.43,22406873,0,0,0,,10/7/24 11:30,736136,87626940,0.84,,10/7/24 11:30
Madras Fertilizers Limited,161101300,137368200,85.27,23733100,0,0,0,,10/7/24 11:30,2023787,157640020,1.28,,10/7/24 11:30
Magnum Ventures Limited,62648817,34005054,54.28,28643763,0,0,0,,10/7/24 11:30,10785242,66411317,16.24,,10/7/24 11:30
Maha Rashtra Apex Corporation Limited,14091896,8813105,62.54,5278791,0,0,0,,10/7/24 11:30,58428,12043360,0.49,,10/7/24 11:30
Mahanagar Telephone Nigam Limited,630000000,354378740,56.25,275621260,0,0,0,,10/7/24 11:30,18425004,629887789,2.93,,10/7/24 11:30
Maharashtra Scooters Limited,11428568,5828560,51,5600008,0,0,0,,10/7/24 11:30,395543,11266700,3.51,,10/7/24 11:30
Maharashtra Seamless Limited,133999252,91120902,68,42878350,0,0,0,,10/7/24 11:30,3703808,133169110,2.78,,10/7/24 11:30
Mahindra & Mahindra Financial Services Limited,1235529920,645510055,52.25,590019865,0,0,0,,10/7/24 11:30,7103437,1235433955,0.57,,10/7/24 11:30
Mahindra & Mahindra Limited,1243528831,298821089,24.03,944707742,140000,0.05,0.01,,10/7/24 11:30,7008623,1240184521,0.57,,10/7/24 11:30
Mahindra Holidays & Resorts India Limited,201957334,135236046,66.96,66721288,0,0,0,,10/7/24 11:30,6553169,201971685,3.24,,10/7/24 11:30
Mahindra Lifespace Developers Limited,155037434,79319550,51.16,75717884,0,0,0,,10/7/24 11:30,4546208,154174369,2.95,,10/7/24 11:30
Maithan Alloys Limited,29111550,21829366,74.99,7282184,0,0,0,,10/7/24 11:30,1264734,29105348,4.35,,10/7/24 11:30
Mallcom (India) Limited,6240000,4598504,73.69,1641496,0,0,0,,10/7/24 11:30,174092,6234259,2.79,,10/7/24 11:30
Malu Paper Mills Limited,17059250,11932653,69.95,5126597,0,0,0,,10/7/24 11:30,339162,17058848,1.99,,10/7/24 11:30
Man Industries (India) Limited,64735188,29856305,46.12,34878883,8130000,27.23,12.56,,10/7/24 11:30,10469951,64306877,16.28,,10/7/24 11:30
Man Infraconstruction Limited,371250405,249875859,67.31,121374546,0,0,0,,10/7/24 11:30,18159970,371208916,4.89,,10/7/24 11:30
Manaksia Coated Metals & Industries Limited,74269050,51387940,69.19,22881110,0,0,0,,10/7/24 11:30,538517,74268289,0.73,,10/7/24 11:30
Manaksia Limited,65534050,49105940,74.93,16428110,0,0,0,,10/7/24 11:30,1481625,65533909,2.26,,10/7/24 11:30
Manali Petrochemicals Limited,171999229,77167251,44.86,94831978,0,0,0,,10/7/24 11:30,8759917,167011944,5.25,,10/7/24 11:30
Manappuram Finance Limited,846434729,298301014,35.24,548133715,0,0,0,,10/7/24 11:30,27425440,843590691,3.25,,10/7/24 11:30
Mangalam Cement Limited,27497298,10157420,36.94,17339878,0,0,0,,10/7/24 11:30,5559544,27312554,20.36,,10/7/24 11:30
Mangalam Drugs And Organics Limited,15828248,7964046,50.32,7864202,1184900,14.88,7.49,,10/7/24 11:30,1532004,15828238,9.68,,10/7/24 11:30
Mangalore Chemicals & Fertilizers Limited,118515150,71851686,60.63,46663464,35155907,48.93,29.66,,10/7/24 11:30,42114842,116357648,36.19,,10/7/24 11:30
Mangalore Refinery and Petrochemicals Limited,1752598777,1552507615,88.58,200091162,0,0,0,,10/7/24 11:30,23332622,1734444686,1.35,,10/7/24 11:30
Manpasand Beverages Limited,114462396,50745000,44.33,63717396,50730000,99.97,44.32,,10/7/24 11:30,51619882,114461285,45.1,,10/7/24 11:30
Manugraph India Limited,30415061,17540078,57.67,12874983,0,0,0,,10/7/24 11:30,995575,30071790,3.31,,10/7/24 11:30
Maral Overseas Limited,41508000,31109229,74.95,10398771,14942880,48.03,36,,10/7/24 11:30,16451161,40927742,40.2,,10/7/24 11:30
Marico Limited,1294634663,768908430,59.39,525726233,1000000,0.13,0.08,,10/7/24 11:30,4693606,1294446035,0.36,,10/7/24 11:30
Marksans Pharma Limited,453163746,198822009,43.87,254341737,0,0,0,,10/7/24 11:30,16115735,452890926,3.56,,10/7/24 11:30
Maruti Suzuki India Limited,314402574,182951476,58.19,131451098,0,0,0,,10/7/24 11:30,1218194,314402029,0.39,,10/7/24 11:30
Mastek Limited,30851891,11184775,36.25,19667116,0,0,0,,10/7/24 11:30,1768327,30777564,5.75,,10/7/24 11:30
Mawana Sugars Limited,39116864,24835976,63.49,14280888,0,0,0,,10/7/24 11:30,1152374,38663321,2.98,,10/7/24 11:30
Max Financial Services Limited,345114771,22516256,6.52,322598515,16356796,72.64,4.74,,10/7/24 11:30,1662547,344650781,0.48,,10/7/24 11:30
Max Healthcare Institute Limited,971912408,230777699,23.74,741134709,0,0,0,,10/7/24 11:30,7759784,972132053,0.8,,10/7/24 11:30
Max India Limited,43170768,21991013,50.94,21179755,0,0,0,,10/7/24 11:30,1501499,43170768,3.48,,10/7/24 11:30
Mayur Uniquoters Ltd,43952600,25720206,58.52,18232394,0,0,0,,10/7/24 11:30,683847,43107756,1.59,,10/7/24 11:30
McDowell Holdings Limited,13992258,317032,2.27,13675226,317030,100,2.27,,10/7/24 11:30,1426570,13623937,10.47,,10/7/24 11:30
Mcleod Russel India Limited,104455735,6523450,6.25,97932285,3724,0.06,0,,10/7/24 11:30,9618158,103619912,9.28,,10/7/24 11:30
Mcnally Bharat Engineering Company Limited,211570757,69369046,32.79,142201711,6536722,9.42,3.09,,10/7/24 11:30,8769622,172092469,5.1,,10/7/24 11:30
Medplus Health Services Limited,119547156,48373653,40.46,71173503,26153991,54.07,21.88,,10/7/24 11:30,28411828,119498016,23.78,,10/7/24 11:30
Megasoft Limited,73770041,31550000,42.77,42220041,0,0,0,,10/7/24 11:30,4163936,72281253,5.76,,10/7/24 11:30
Meghmani Organics Limited,254314211,125428887,49.32,128885324,0,0,0,,10/7/24 11:30,18097154,254314211,7.12,,10/7/24 11:30
Melstar Information Technologies Limited,14283139,6720976,47.06,7562163,0,0,0,,10/7/24 11:30,3241729,14030488,23.1,,10/7/24 11:30
Menon Bearings Limited,56040000,39328500,70.18,16711500,2300000,5.85,4.1,,10/7/24 11:30,3049167,54258776,5.62,,10/7/24 11:30
Mercator Limited,302459335,9102400,3.01,293356935,9000000,98.88,2.98,,10/7/24 11:30,20402367,301210977,6.77,,10/7/24 11:30
Metalyst Forgings Limited,43550000,26704492,61.32,16845508,0,0,0,,10/7/24 11:30,269883,43385754,0.62,,10/7/24 11:30
Metkore Alloys & Industries Limited,70426475,40298483,57.22,30127992,,,,,10/7/24 11:30,218042,68228780,0.32,,10/7/24 11:30
Metropolis Healthcare Limited,51228806,25417991,49.62,25810815,300000,1.18,0.59,,10/7/24 11:30,542032,51241629,1.06,,10/7/24 11:30
Mic Electronics Limited,241011560,162702647,67.51,78308913,3377000,2.08,1.4,,10/7/24 11:30,2263789,240503543,0.94,,10/7/24 11:30
Mirza International Limited,138201900,98499282,71.27,39702618,0,0,0,,10/7/24 11:30,2968162,137835313,2.15,,10/7/24 11:30
Modi Rubber Limited,25040532,15698952,62.69,9341580,0,0,0,,10/7/24 11:30,12388,20850057,0.06,,10/7/24 11:30
Mohit Industries Limited,14157575,7761165,54.82,6396410,0,0,0,,10/7/24 11:30,229379,14148230,1.62,,10/7/24 11:30
Mold-Tek Packaging Limited,33228914,10886165,32.76,22342749,75000,0.69,0.23,,10/7/24 11:30,826332,33140442,2.49,,10/7/24 11:30
Mold-Tek Technologies Limited,28564460,14022063,49.09,14542397,0,0,0,,10/7/24 11:30,924279,28487020,3.24,,10/7/24 11:30
Monarch Networth Capital Limited,33869518,18940175,55.92,14929343,608417,3.21,1.8,,10/7/24 11:30,6994381,78235530,8.94,,10/7/24 11:30
Monte Carlo Fashions Limited,20732064,15169619,73.17,5562445,0,0,0,,10/7/24 11:30,432048,20729312,2.08,,10/7/24 11:30
Morarjee Textiles Limited,36332349,23206657,63.87,13125692,0,0,0,,10/7/24 11:30,345176,35979111,0.96,,10/7/24 11:30
Morepen Laboratories Limited,511168708,195371588,38.22,315797120,0,0,0,,10/7/24 11:30,44880144,521409372,8.61,,10/7/24 11:30
Motherson Sumi Wiring India Limited,4421107932,2729001162,61.73,1692106770,0,0,0,,10/7/24 11:30,48852571,4421099068,1.1,,10/7/24 11:30
Motilal Oswal Financial Services Limited,597043612,412207692,69.04,184835920,0,0,0,,10/7/24 11:30,9805141,598573270,1.64,,10/7/24 11:30
MphasiS Limited,189092483,76302162,40.35,112790321,0,0,0,,10/7/24 11:30,824061,189128156,0.44,,10/7/24 11:30
Mtar Technologies Limited,30759591,11201974,36.42,19557617,952666,8.5,3.1,,10/7/24 11:30,3226409,30759591,10.49,,10/7/24 11:30
Mukand Limited,144495563,107943650,74.7,36551913,0,0,0,,10/7/24 11:30,3000571,143989046,2.08,,10/7/24 11:30
Mukta Arts Limited,22585200,15969290,70.71,6615910,0,0,0,,10/7/24 11:30,374758,22575299,1.66,,10/7/24 11:30
Munjal Auto Industries Limited,100000000,74806450,74.81,25193550,0,0,0,,10/7/24 11:30,2146084,99068590,2.17,,10/7/24 11:30
Munjal Showa Limited,39995000,26004158,65.02,13990842,0,0,0,,10/7/24 11:30,1321029,39687938,3.33,,10/7/24 11:30
Murudeshwar Ceramics Limited,60545260,44765125,73.94,15780135,0,0,0,,10/7/24 11:30,692049,60254545,1.15,,10/7/24 11:30
Muthoot Finance Limited,401463891,294463872,73.35,107000019,0,0,0,,10/7/24 11:30,1868520,401463826,0.47,,10/7/24 11:30
N R Agarwal Industries Limited,17019100,12588166,73.96,4430934,12516998,99.43,73.55,,10/7/24 11:30,12895316,16737094,77.05,,10/7/24 11:30
NACL Industries Limited,199384176,126915859,63.65,72468317,9033424,7.12,4.53,,10/7/24 11:30,4123931,197089604,2.09,,10/7/24 11:30
NAVA LIMITED,145100638,70883694,48.85,74216944,0,0,0,,10/7/24 11:30,7472421,144400188,5.17,,10/7/24 11:30
NBCC (India) Limited,1800000000,1111579093,61.75,688420907,0,0,0,,10/7/24 11:30,59512716,1799987913,3.31,,10/7/24 11:30
NCC Limited,627846588,138136680,22,489709908,0,0,0,,10/7/24 11:30,38727236,627198045,6.17,,10/7/24 11:30
NCL Industries Limited,45232790,19136455,42.31,26096335,3450677,18.03,7.63,,10/7/24 11:30,6769995,44371881,15.26,,10/7/24 11:30
NDL Ventures Limited,33671621,22289334,66.2,11382287,0,0,0,,10/7/24 11:30,208685,33041947,0.63,,10/7/24 11:30
NELCO Limited,22818400,11428940,50.09,11389460,0,0,0,,10/7/24 11:30,1652067,21741076,7.6,,10/7/24 11:30
NHPC Limited,10045034805,6770146458,67.4,3274888347,0,0,0,,10/7/24 11:30,183389738,10044987569,1.83,,10/7/24 11:30
NIIT Limited,135280541,46893787,34.66,88386754,0,0,0,,10/7/24 11:30,6939987,135133463,5.14,,10/7/24 11:30
NK Industries Limited,6009900,4403754,73.27,1606146,0,0,0,,10/7/24 11:30,7155,5509200,0.13,,10/7/24 11:30
NLC India Limited,1386636609,1001156562,72.2,385480047,0,0,0,,10/7/24 11:30,22953543,1384892123,1.66,,10/7/24 11:30
NMDC Limited,2930605850,1781633571,60.79,1148972279,0,0,0,,10/7/24 11:30,80800538,2930525593,2.76,,10/7/24 11:30
NOCIL Limited,166645705,56391184,33.84,110254521,4813392,8.54,2.89,,10/7/24 11:30,19088799,165423063,11.54,,10/7/24 11:30
NRB Bearing Limited,96922600,49128435,50.69,47794165,0,0,0,,10/7/24 11:30,1908629,96679590,1.97,,10/7/24 11:30
NRB Industrial Bearings Limited,24230650,18033903,74.43,6196747,0,0,0,,10/7/24 11:30,102848,24136883,0.43,,10/7/24 11:30
NTPC Limited,9696666134,4955346251,51.1,4741319883,0,0,0,,10/7/24 11:30,47399343,9696593277,0.49,,10/7/24 11:30
Nagarjuna Fertilizers and Chemicals Limited,598065003,335564319,56.11,262500684,296072140,88.23,49.51,,10/7/24 11:30,135085494,578373871,23.36,,10/7/24 11:30
Nagreeka Capital & Infrastructure Limited,12615300,6753159,53.53,5862141,0,0,0,,10/7/24 11:30,78914,12147275,0.65,,10/7/24 11:30
Nagreeka Exports Limited,31249250,17910871,57.32,13338379,0,0,0,,10/7/24 11:30,122593,31104237,0.39,,10/7/24 11:30
Nahar Capital and Financial Services Limited,16746167,11997846,71.65,4748321,0,0,0,,10/7/24 11:30,652203,16604743,3.93,,10/7/24 11:30
Nahar Industrial Enterprises Limited,43205581,30781065,71.24,12424516,0,0,0,,10/7/24 11:30,755383,42209553,1.79,,10/7/24 11:30
Nahar Poly Films Limited,24587991,17674523,71.88,6913468,0,0,0,,10/7/24 11:30,108893,23966904,0.45,,10/7/24 11:30
Nahar Spinning Mills Limited,36065303,24190370,67.07,11874933,0,0,0,,10/7/24 11:30,722627,35548721,2.03,,10/7/24 11:30
Nakoda Group of Industries Limited,12725142,7218186,56.72,5506956,900000,12.47,7.07,,10/7/24 11:30,1369554,12725142,10.76,,10/7/24 11:30
Nakoda Limited,300000000,136849600,45.62,163150400,6218400,4.54,2.07,,10/7/24 11:30,11485127,296060843,3.88,,10/7/24 11:30
Nalwa Sons Investments Limited,5136163,2856490,55.62,2279673,0,0,0,,10/7/24 11:30,88408,4981493,1.77,,10/7/24 11:30
Nandan Denim Limited,1441471680,735324200,51.01,706147480,0,0,0,,10/7/24 11:30,45063921,605209802,7.45,,10/7/24 11:30
Nandani Creation Limited,11483950,5884100,51.24,5599850,1339100,22.76,11.66,,10/7/24 11:30,3998696,17261106,23.17,,10/7/24 11:30
Narmada Agrobase Limited,13548714,7812514,57.66,5736200,0,0,0,,10/7/24 11:30,147531,13548714,1.09,,10/7/24 11:30
Natco Pharma Limited,179109870,89030275,49.71,90079595,0,0,0,,10/7/24 11:30,6606953,178663705,3.7,,10/7/24 11:30
Nath Bio-Genes (India) Limited,19004000,8664902,45.6,10339098,1419000,16.38,7.47,,10/7/24 11:30,3623296,18721513,19.35,,10/7/24 11:30
National Aluminium Company Limited,1836631787,941793011,51.28,894838776,0,0,0,,10/7/24 11:30,66546627,1835194794,3.63,,10/7/24 11:30
National Fertilizers Limited,490578400,366530032,74.71,124048368,0,0,0,,10/7/24 11:30,19297485,490314241,3.94,,10/7/24 11:30
Navin Fluorine International Limited,49583400,14279724,28.8,35303676,450000,3.15,0.91,,10/7/24 11:30,1881195,48967862,3.84,,10/7/24 11:30
Navkar Corporation Limited,150519181,106039675,70.45,44479506,0,0,0,,10/7/24 11:30,12322302,150519179,8.19,,10/7/24 11:30
Navneet Education Limited,226213181,143222373,63.31,82990808,0,0,0,,10/7/24 11:30,3018306,219708498,1.37,,10/7/24 11:30
Nazara Technologies Limited,76541640,7693546,10.05,68848094,0,0,0,,10/7/24 11:30,23717385,74469850,31.85,,10/7/24 11:30
Nectar Lifesciences Limited,224260970,145468000,64.87,78792970,99468000,68.38,44.35,,10/7/24 11:30,109317669,224259100,48.75,,10/7/24 11:30
Nelcast Limited,87001200,65135000,74.87,21866200,0,0,0,,10/7/24 11:30,1489532,87001195,1.71,,10/7/24 11:30
Nesco Limited,70459960,48290313,68.54,22169647,0,0,0,,10/7/24 11:30,2057048,69784170,2.95,,10/7/24 11:30
Network18 Media & Investments Limited,1046948519,785211389,75,261737130,0,0,0,,10/7/24 11:30,108307659,1046844245,10.35,,10/7/24 11:30
Neueon Towers Limited,56544552,21074443,37.27,35470109,21073086,99.99,37.27,,10/7/24 11:30,21524921,56227595,38.28,,10/7/24 11:30
Neuland Laboratories Limited,12829889,4198161,32.72,8631728,0,0,0,,10/7/24 11:30,979695,12765692,7.67,,10/7/24 11:30
New Delhi Television Limited,64471267,41722396,64.71,22748871,0,0,0,,10/7/24 11:30,1987793,64444623,3.08,,10/7/24 11:30
Next Mediaworks Limited,66892908,50161307,74.99,16731601,0,0,0,,10/7/24 11:30,865246,66891031,1.29,,10/7/24 11:30
Nilkamal Limited,14922525,9631046,64.54,5291479,0,0,0,,10/7/24 11:30,229916,14856326,1.55,,10/7/24 11:30
Nippon Life India Asset Management Limited,631763548,459028095,72.66,172735453,0,0,0,,10/7/24 11:30,3839083,633227916,0.61,,10/7/24 11:30
Nitco Limited,71858955,34357566,47.81,37501389,32571028,94.8,45.33,,10/7/24 11:30,35877834,71845031,49.94,,10/7/24 11:30
Nitin Fire Protection Industries Limited,292269622,69236143,23.69,223033479,37163888,53.68,12.72,,10/7/24 11:30,95123387,292269165,32.55,,10/7/24 11:30
Nitin Spinners Limited,56220000,31747000,56.47,24473000,0,0,0,,10/7/24 11:30,2266137,56220000,4.03,,10/7/24 11:30
Noida Toll Bridge Company Limited,186195002,49095007,26.37,137099995,0,0,0,,10/7/24 11:30,6357842,186006536,3.42,,10/7/24 11:30
Norben Tea & Exports Limited,11750000,6044759,51.44,5705241,0,0,0,,10/7/24 11:30,28070,9351994,0.3,,10/7/24 11:30
Nu Tek India Limited,154518600,14694204,9.51,139824396,,,,,10/7/24 11:30,1353145,153610685,0.88,,10/7/24 11:30
Nucleus Software Exports Limited,26773324,19615666,73.27,7157658,0,0,0,,10/7/24 11:30,286931,26283118,1.09,,10/7/24 11:30
OM INFRA LIMITED,96303809,66531905,69.09,29771904,0,0,0,,10/7/24 11:30,2692611,96265809,2.8,,10/7/24 11:30
ORIENT CERATECH LIMITED,119639200,76066129,63.58,43573071,0,0,0,,10/7/24 11:30,1063815,119077845,0.89,,10/7/24 11:30
Oberoi Realty Limited,363602237,246174946,67.7,117427291,0,0,0,,10/7/24 11:30,1298141,363602236,0.36,,10/7/24 11:30
Oil & Natural Gas Corporation Limited,12580279206,7408867093,58.89,5171412113,0,0,0,,10/7/24 11:30,70315543,12577273061,0.56,,10/7/24 11:30
Oil Country Tubular Limited,44289530,21799431,49.22,22490099,14489000,66.47,32.71,,10/7/24 11:30,15472807,43013193,35.97,,10/7/24 11:30
Oil India Limited,1084405194,614376660,56.66,470028534,0,0,0,,10/7/24 11:30,11178588,1624382855,0.69,,10/7/24 11:30
Olectra Greentech Limited,82080737,41053000,50.02,41027737,0,0,0,,10/7/24 11:30,7668405,82027794,9.35,,10/7/24 11:30
Omax Autos Limited,21388213,11574300,54.12,9813913,0,0,0,,10/7/24 11:30,494197,21234765,2.33,,10/7/24 11:30
Omaxe Limited,182900540,135606918,74.14,47293622,30858657,22.76,16.87,,10/7/24 11:30,37575679,182900151,20.54,,10/7/24 11:30
Omkar Speciality Chemicals Limited,20578004,3026761,14.71,17551243,1717052,56.73,8.34,,10/7/24 11:30,442667,20577994,2.15,,10/7/24 11:30
OnMobile Global Limited,106319661,50923703,47.9,55395958,0,0,0,,10/7/24 11:30,8315125,106306305,7.82,,10/7/24 11:30
One Point One Solutions Limited,218343420,132482339,60.68,85861081,3800000,2.87,1.74,,10/7/24 11:30,15386683,213588420,7.2,,10/7/24 11:30
Onelife Capital Advisors Limited,13360000,6959999,52.1,6400001,5400000,77.59,40.42,,10/7/24 11:30,5562991,13359998,41.64,,10/7/24 11:30
Onward Technologies Limited,22579170,8583789,38.02,13995381,0,0,0,,10/7/24 11:30,1215964,22532944,5.4,,10/7/24 11:30
Optiemus Infracom Limited,85857191,64300541,74.89,21556650,1816279,2.82,2.12,,10/7/24 11:30,4096052,85046543,4.82,,10/7/24 11:30
